Timestamp,Device_Name,MAC_Address,RSSI
2026-04-29 17:19:59.527830,TY,DC:23:50:F2:A3:5D,-89
2026-04-29 17:19:59.527900,POCO X7 Pro,9C:9E:D5:92:22:24,-89
2026-04-29 17:19:59.527923,GR-AC_10001_09_e08b_SC,C0:39:37:AF:E0:8B,-99
2026-04-29 17:19:59.527942,LYWSD03MMC,A4:C1:38:91:9B:F2,-85
2026-04-29 17:20:05.551749,POCO X7 Pro,9C:9E:D5:92:22:24,-96
2026-04-29 17:20:05.551782,GR-AC_10001_09_e08b_SC,C0:39:37:AF:E0:8B,-98
2026-04-29 17:20:05.551795,TY,DC:23:50:F2:A3:5D,-90
2026-04-29 17:20:05.551804,LYWSD03MMC,A4:C1:38:91:9B:F2,-89
2026-04-29 17:20:11.674747,POCO X7 Pro,9C:9E:D5:92:22:24,-96
2026-04-29 17:20:17.692107,POCO X7 Pro,9C:9E:D5:92:22:24,-93
2026-04-29 17:20:23.713980,POCO X7 Pro,9C:9E:D5:92:22:24,-98
2026-04-29 17:20:23.714019,TY,DC:23:50:F2:A3:5D,-89
2026-04-29 17:20:23.714033,LYWSD03MMC,A4:C1:38:91:9B:F2,-87
