Timestamp,Device_Name,MAC_Address,RSSI
2026-04-29 18:32:48.084381,POCO X7 Pro,9C:9E:D5:92:22:24,-92
2026-04-29 18:32:48.084444,TY,DC:23:50:F2:A3:5D,-91
2026-04-29 18:32:48.084459,LYWSD03MMC,A4:C1:38:91:9B:F2,-86
2026-04-29 18:32:56.105638,POCO X7 Pro,9C:9E:D5:92:22:24,-83
2026-04-29 18:32:56.105660,TY,DC:23:50:F2:A3:5D,-91
2026-04-29 18:32:56.105670,LYWSD03MMC,A4:C1:38:91:9B:F2,-89
2026-04-29 18:32:56.105690,GR-AC_10001_09_e08b_SC,C0:39:37:AF:E0:8B,-99
2026-04-29 18:33:04.126413,POCO X7 Pro,9C:9E:D5:92:22:24,-85
2026-04-29 18:33:04.126450,TY,DC:23:50:F2:A3:5D,-90
2026-04-29 18:33:12.143922,LYWSD03MMC,A4:C1:38:91:9B:F2,-91
2026-04-29 18:33:12.143961,POCO X7 Pro,9C:9E:D5:92:22:24,-82
2026-04-29 18:33:20.165067,POCO X7 Pro,9C:9E:D5:92:22:24,-90
2026-04-29 18:33:20.165110,LYWSD03MMC,A4:C1:38:91:9B:F2,-89
