Timestamp,Device_Name,MAC_Address,RSSI
2026-04-29 18:53:16.502838,POCO X7 Pro,9C:9E:D5:92:22:24,-79
2026-04-29 18:53:16.502889,TY,DC:23:50:F2:A3:5D,-90
2026-04-29 18:53:16.502906,LYWSD03MMC,A4:C1:38:91:9B:F2,-92
2026-04-29 18:53:24.572699,TY,DC:23:50:F2:A3:5D,-94
2026-04-29 18:53:24.572733,POCO X7 Pro,9C:9E:D5:92:22:24,-70
2026-04-29 18:53:24.572748,Redmi Note 8 Pro,1C:CC:D6:39:31:50,-127
2026-04-29 18:53:32.589090,LYWSD03MMC,A4:C1:38:91:9B:F2,-90
2026-04-29 18:53:32.589102,Redmi Note 8 Pro,1C:CC:D6:39:31:50,-127
2026-04-29 18:53:32.589106,POCO X7 Pro,9C:9E:D5:92:22:24,-68
2026-04-29 18:53:32.589110,TY,DC:23:50:F2:A3:5D,-90
2026-04-29 18:53:40.610255,POCO X7 Pro,9C:9E:D5:92:22:24,-66
2026-04-29 18:53:40.610272,TY,DC:23:50:F2:A3:5D,-91
2026-04-29 18:53:48.630862,POCO X7 Pro,9C:9E:D5:92:22:24,-66
2026-04-29 18:53:48.630878,TY,DC:23:50:F2:A3:5D,-91
2026-04-29 18:53:48.630882,LYWSD03MMC,A4:C1:38:91:9B:F2,-90
