Timestamp,Device_Name,MAC_Address,RSSI
2026-04-29 18:38:52.216940,TY,DC:23:50:F2:A3:5D,-90
2026-04-29 18:38:52.217008,POCO X7 Pro,9C:9E:D5:92:22:24,-68
2026-04-29 18:38:52.217027,LYWSD03MMC,A4:C1:38:91:9B:F2,-92
2026-04-29 18:39:00.238247,POCO X7 Pro,9C:9E:D5:92:22:24,-59
2026-04-29 18:39:00.238273,GR-AC_10001_09_e08b_SC,C0:39:37:AF:E0:8B,-99
2026-04-29 18:39:00.238284,TY,DC:23:50:F2:A3:5D,-92
2026-04-29 18:39:08.253796,POCO X7 Pro,9C:9E:D5:92:22:24,-64
2026-04-29 18:39:08.253828,LYWSD03MMC,A4:C1:38:91:9B:F2,-94
2026-04-29 18:39:16.274287,POCO X7 Pro,9C:9E:D5:92:22:24,-69
2026-04-29 18:39:16.274324,TY,DC:23:50:F2:A3:5D,-93
2026-04-29 18:39:16.274338,LYWSD03MMC,A4:C1:38:91:9B:F2,-93
2026-04-29 18:39:24.295083,GR-AC_10001_09_e08b_SC,C0:39:37:AF:E0:8B,-100
2026-04-29 18:39:24.295131,POCO X7 Pro,9C:9E:D5:92:22:24,-64
2026-04-29 18:39:24.295154,TY,DC:23:50:F2:A3:5D,-93
