Timestamp,Device_Name,MAC_Address,RSSI
2026-04-29 17:10:00.048439,TY,DC:23:50:F2:A3:5D,-93
2026-04-29 17:10:00.048497,POCO X7 Pro,9C:9E:D5:92:22:24,-70
2026-04-29 17:10:00.048511,GR-AC_10001_09_e08b_SC,C0:39:37:AF:E0:8B,-98
2026-04-29 17:10:06.063137,POCO X7 Pro,9C:9E:D5:92:22:24,-70
2026-04-29 17:10:06.063179,GR-AC_10001_09_e08b_SC,C0:39:37:AF:E0:8B,-99
2026-04-29 17:10:06.063198,LYWSD03MMC,A4:C1:38:91:9B:F2,-84
2026-04-29 17:10:12.082982,POCO X7 Pro,9C:9E:D5:92:22:24,-68
2026-04-29 17:10:18.103047,POCO X7 Pro,9C:9E:D5:92:22:24,-71
2026-04-29 17:10:18.103101,TY,DC:23:50:F2:A3:5D,-88
2026-04-29 17:10:18.103125,LYWSD03MMC,A4:C1:38:91:9B:F2,-83
2026-04-29 17:10:24.123361,POCO X7 Pro,9C:9E:D5:92:22:24,-70
2026-04-29 17:10:24.123404,TY,DC:23:50:F2:A3:5D,-93
2026-04-29 17:10:24.123421,GR-AC_10001_09_e08b_SC,C0:39:37:AF:E0:8B,-99
2026-04-29 17:10:30.144933,POCO X7 Pro,9C:9E:D5:92:22:24,-71
2026-04-29 17:10:30.144978,GR-AC_10001_09_e08b_SC,C0:39:37:AF:E0:8B,-99
2026-04-29 17:10:30.144991,TY,DC:23:50:F2:A3:5D,-89
2026-04-29 17:10:36.162857,POCO X7 Pro,9C:9E:D5:92:22:24,-70
2026-04-29 17:10:36.162899,GR-AC_10001_09_e08b_SC,C0:39:37:AF:E0:8B,-99
