Timestamp,Device_Name,MAC_Address,RSSI
2026-04-29 18:31:38.816608,POCO X7 Pro,9C:9E:D5:92:22:24,-74
2026-04-29 18:31:38.816629,TY,DC:23:50:F2:A3:5D,-90
2026-04-29 18:31:46.838143,POCO X7 Pro,9C:9E:D5:92:22:24,-77
2026-04-29 18:31:54.861794,POCO X7 Pro,9C:9E:D5:92:22:24,-72
2026-04-29 18:31:54.861847,LYWSD03MMC,A4:C1:38:91:9B:F2,-90
2026-04-29 18:31:54.861871,TY,DC:23:50:F2:A3:5D,-89
2026-04-29 18:32:02.880994,POCO X7 Pro,9C:9E:D5:92:22:24,-70
2026-04-29 18:32:02.881032,TY,DC:23:50:F2:A3:5D,-89
2026-04-29 18:32:10.898358,POCO X7 Pro,9C:9E:D5:92:22:24,-70
2026-04-29 18:32:10.898404,TY,DC:23:50:F2:A3:5D,-93
