Timestamp,Device_Name,MAC_Address,RSSI
2026-04-29 17:08:56.356267,POCO X7 Pro,9C:9E:D5:92:22:24,-68
2026-04-29 17:08:56.356329,TY,DC:23:50:F2:A3:5D,-93
2026-04-29 17:09:04.481408,POCO X7 Pro,9C:9E:D5:92:22:24,-86
2026-04-29 17:09:04.481449,LYWSD03MMC,A4:C1:38:91:9B:F2,-84
2026-04-29 17:09:04.481468,GR-AC_10001_09_e08b_SC,C0:39:37:AF:E0:8B,-98
2026-04-29 17:09:04.481484,TY,DC:23:50:F2:A3:5D,-91
2026-04-29 17:09:12.501253,POCO X7 Pro,9C:9E:D5:92:22:24,-65
2026-04-29 17:09:12.501287,TY,DC:23:50:F2:A3:5D,-92
2026-04-29 17:09:12.501298,LYWSD03MMC,A4:C1:38:91:9B:F2,-83
2026-04-29 17:09:20.628125,POCO X7 Pro,9C:9E:D5:92:22:24,-65
2026-04-29 17:09:20.628177,TY,DC:23:50:F2:A3:5D,-91
2026-04-29 17:09:28.753330,POCO X7 Pro,9C:9E:D5:92:22:24,-67
2026-04-29 17:09:28.753387,GR-AC_10001_09_e08b_SC,C0:39:37:AF:E0:8B,-98
2026-04-29 17:09:28.753402,LYWSD03MMC,A4:C1:38:91:9B:F2,-84
2026-04-29 17:09:28.753416,TY,DC:23:50:F2:A3:5D,-91
