Timestamp,Device_Name,MAC_Address,RSSI
2026-04-29 18:50:44.222466,POCO X7 Pro,9C:9E:D5:92:22:24,-80
2026-04-29 18:50:44.222507,TY,DC:23:50:F2:A3:5D,-88
2026-04-29 18:50:44.222519,LYWSD03MMC,A4:C1:38:91:9B:F2,-90
2026-04-29 18:50:52.243694,POCO X7 Pro,9C:9E:D5:92:22:24,-81
2026-04-29 18:50:52.243726,TY,DC:23:50:F2:A3:5D,-89
2026-04-29 18:51:00.268586,POCO X7 Pro,9C:9E:D5:92:22:24,-85
2026-04-29 18:51:00.268610,TY,DC:23:50:F2:A3:5D,-90
2026-04-29 18:51:00.268620,LYWSD03MMC,A4:C1:38:91:9B:F2,-96
2026-04-29 18:51:08.290969,POCO X7 Pro,9C:9E:D5:92:22:24,-77
2026-04-29 18:51:16.313976,POCO X7 Pro,9C:9E:D5:92:22:24,-79
2026-04-29 18:51:16.314014,TY,DC:23:50:F2:A3:5D,-91
